,sessionId,trial_num,recognizer_age,sketch_path,intended_category,producer_age,clicked_category,RT
0,vehiclegame_run_v11555632405471,1,adult,[u'photos/car_2.png'],car,photo,airplane,13115.0
1,vehiclegame_run_v11555632405471,2,adult,[u'photos/boat_4.png'],boat,photo,boat,14138.0
2,vehiclegame_run_v11555632405471,3,adult,[u'photos/train_2.png'],train,photo,train,6239.0
3,vehiclegame_run_v11555632405471,4,adult,[u'photos/airplane_3.png'],airplane,photo,airplane,1039.0
4,vehiclegame_run_v11555632405471,5,adult,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31530480400108.png,airplane,age4,airplane,7082.0
5,vehiclegame_run_v11555632405471,6,adult,balanced_sketches_renamed/car_sketch_age5_cdm_run_v31534269898831.png,car,age5,car,2390.0
6,vehiclegame_run_v11555632405471,7,adult,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31534118008687.png,boat,age8,train,760.0
7,vehiclegame_run_v11555632405471,8,adult,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41540073378779.png,train,age5,boat,490.0
8,vehiclegame_run_v11555632405471,9,adult,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541792446475.png,train,age8,train,513.0
9,vehiclegame_run_v11555632405471,10,adult,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31533765027411.png,boat,age7,boat,1467.0
10,vehiclegame_run_v11555632405471,11,adult,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31532472921086.png,boat,age5,car,934.0
11,vehiclegame_run_v11555632405471,12,adult,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31534450636247.png,car,age8,train,1995.0
12,vehiclegame_run_v11555632405471,13,adult,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31528920077067.png,airplane,age6,airplane,1090.0
13,vehiclegame_run_v11555632405471,14,adult,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31526665751276.png,boat,age6,boat,1268.0
14,vehiclegame_run_v11555632405471,15,adult,[u'photos/airplane_3.png'],airplane,photo,car,492.0
15,vehiclegame_run_v11555632405471,16,adult,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31532555117955.png,boat,age8,train,512.0
16,vehiclegame_run_v11555632529649,1,adult,[u'photos/car_3.png'],car,photo,car,9116.0
17,vehiclegame_run_v11555632529649,2,adult,[u'photos/train_3.png'],train,photo,train,1150.0
18,vehiclegame_run_v11555632529649,3,adult,[u'photos/boat_2.png'],boat,photo,boat,600.0
19,vehiclegame_run_v11555632529649,4,adult,[u'photos/airplane_4.png'],airplane,photo,airplane,659.0
20,vehiclegame_run_v11555632529649,5,adult,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31532553043342.png,boat,age5,boat,33373.0
21,vehiclegame_run_v11555632529649,6,adult,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31534801537754.png,boat,age4,airplane,828.0
22,vehiclegame_run_v11555722918767,1,adult,[u'photos/car_2.png'],car,photo,car,6255.0
23,vehiclegame_run_v11555722918767,2,adult,[u'photos/boat_3.png'],boat,photo,boat,4920.0
24,vehiclegame_run_v11555722918767,3,adult,[u'photos/airplane_3.png'],airplane,photo,airplane,1014.0
25,vehiclegame_run_v11555722918767,4,adult,[u'photos/train_3.png'],train,photo,train,527.0
26,vehiclegame_run_v11555722918767,5,adult,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31534110873366.png,car,age6,train,11006.0
27,vehiclegame_run_v11555722918767,6,adult,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31529182048446.png,airplane,age6,airplane,1550.0
28,vehiclegame_run_v11555722918767,7,adult,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31531954185970.png,airplane,age7,airplane,995.0
29,vehiclegame_run_v11555722918767,8,adult,balanced_sketches_renamed/train_sketch_age7_cdm_run_v41542052611334.png,train,age7,train,2121.0
30,vehiclegame_run_v11555722918767,9,adult,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41540320464830.png,train,age4,train,2545.0
31,vehiclegame_run_v11555722918767,10,adult,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41539114877832.png,train,age5,train,1734.0
32,vehiclegame_run_v11555722918767,11,adult,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541370666218.png,train,age8,train,847.0
33,vehiclegame_run_v11555722918767,12,adult,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41536447093595.png,train,age6,train,1188.0
34,vehiclegame_run_v11555722918767,13,adult,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31526673903441.png,car,age4,car,1346.0
35,vehiclegame_run_v11555722918767,14,adult,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31526665751276.png,boat,age6,boat,42529.0
36,vehiclegame_run_v11555722918767,15,adult,[u'photos/airplane_1.png'],airplane,photo,airplane,931.0
37,vehiclegame_run_v11555722918767,16,adult,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31533334630848.png,boat,age4,train,912.0
38,vehiclegame_run_v11555782560833,1,age3,[u'photos/boat_1.png'],boat,photo,boat,10123.0
39,vehiclegame_run_v11555782560833,2,age3,[u'photos/car_4.png'],car,photo,boat,1512.0
40,vehiclegame_run_v11555782560833,3,age3,[u'photos/train_1.png'],train,photo,dont_know,1829.0
41,vehiclegame_run_v11555782560833,4,age3,[u'photos/airplane_3.png'],airplane,photo,airplane,7261.0
42,vehiclegame_run_v11555782560833,5,age3,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31534362900563.png,boat,age6,train,14270.0
43,vehiclegame_run_v11555782560833,6,age3,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41540147652298.png,train,age4,dont_know,3138.0
44,vehiclegame_run_v11555782560833,7,age3,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31529011985004.png,airplane,age5,dont_know,3778.0
45,vehiclegame_run_v11555782560833,8,age3,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41541107676891.png,train,age6,train,5664.0
46,vehiclegame_run_v11555782560833,9,age3,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31530311922480.png,airplane,age4,car,14052.0
47,vehiclegame_run_v11555782560833,10,age3,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41536532125370.png,train,age5,car,14478.0
48,vehiclegame_run_v11555782664932,1,age3,[u'photos/boat_4.png'],boat,photo,boat,8280.0
49,vehiclegame_run_v11555790169125,1,age4,[u'photos/car_3.png'],car,photo,car,12357.0
50,vehiclegame_run_v11555790169125,2,age4,[u'photos/boat_3.png'],boat,photo,boat,5860.0
51,vehiclegame_run_v11555790169125,3,age4,[u'photos/train_3.png'],train,photo,train,6761.0
52,vehiclegame_run_v11555790169125,4,age4,[u'photos/airplane_2.png'],airplane,photo,airplane,2219.0
53,vehiclegame_run_v11555790169125,5,age4,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31534022233782.png,car,age6,train,18090.0
54,vehiclegame_run_v11555790169125,6,age4,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31526665751276.png,boat,age6,boat,4711.0
55,vehiclegame_run_v11555790169125,7,age4,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31531338246387.png,airplane,age7,airplane,2356.0
56,vehiclegame_run_v11555790169125,8,age4,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31530389142347.png,airplane,age5,airplane,6701.0
57,vehiclegame_run_v11555790169125,9,age4,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41541802235045.png,train,age4,dont_know,12766.0
58,vehiclegame_run_v11555790169125,10,age4,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31534884454991.png,boat,age7,boat,4486.0
59,vehiclegame_run_v11555790169125,11,age4,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31532978289131.png,boat,age7,train,9348.0
60,vehiclegame_run_v11555790587201,1,age2,[u'photos/train_3.png'],train,photo,train,18290.0
61,vehiclegame_run_v11555792823351,1,age7,[u'photos/boat_4.png'],boat,photo,boat,12299.0
62,vehiclegame_run_v11555792823351,2,age7,[u'photos/airplane_3.png'],airplane,photo,airplane,6866.0
63,vehiclegame_run_v11555792823351,3,age7,[u'photos/car_3.png'],car,photo,car,2018.0
64,vehiclegame_run_v11555792823351,4,age7,[u'photos/train_3.png'],train,photo,train,1471.0
65,vehiclegame_run_v11555792823351,5,age7,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41541882997726.png,train,age4,boat,12337.0
66,vehiclegame_run_v11555792823351,6,age7,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31532472921086.png,boat,age5,car,8302.0
67,vehiclegame_run_v11555792823351,7,age7,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31532715129943.png,boat,age4,train,7365.0
68,vehiclegame_run_v11555792823351,8,age7,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31526253016255.png,car,age8,car,5398.0
69,vehiclegame_run_v11555792823351,9,age7,balanced_sketches_renamed/airplane_sketch_age8_cdm_run_v31528492338463.png,airplane,age8,airplane,2309.0
70,vehiclegame_run_v11555792823351,10,age7,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41541705669045.png,train,age6,train,2637.0
71,vehiclegame_run_v11555792823351,11,age7,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31530817208588.png,airplane,age7,airplane,1909.0
72,vehiclegame_run_v11555792823351,12,age7,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31533325007534.png,car,age8,boat,5002.0
73,vehiclegame_run_v11555792823351,13,age7,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31531432311575.png,airplane,age5,car,8315.0
74,vehiclegame_run_v11555792823351,14,age7,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41541180944712.png,train,age5,car,3012.0
75,vehiclegame_run_v11555792823351,15,age7,[u'photos/airplane_4.png'],airplane,photo,airplane,1769.0
76,vehiclegame_run_v11555792823351,16,age7,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31533067619622.png,car,age4,car,1958.0
77,vehiclegame_run_v11555792823351,17,age7,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31530311922480.png,airplane,age4,airplane,1813.0
78,vehiclegame_run_v11555792823351,18,age7,balanced_sketches_renamed/train_sketch_age7_cdm_run_v41541795950259.png,train,age7,train,1700.0
79,vehiclegame_run_v11555792823351,19,age7,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31534109653532.png,boat,age5,boat,1678.0
80,vehiclegame_run_v11555792823351,20,age7,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31533065061260.png,car,age6,car,2794.0
81,vehiclegame_run_v11555792823351,21,age7,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31532805314914.png,car,age6,car,4366.0
82,vehiclegame_run_v11555792823351,22,age7,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31526763707135.png,car,age4,car,2508.0
83,vehiclegame_run_v11555792823351,23,age7,balanced_sketches_renamed/car_sketch_age5_cdm_run_v31534714393295.png,car,age5,car,2507.0
84,vehiclegame_run_v11555792823351,24,age7,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41540073378779.png,train,age5,train,1927.0
85,vehiclegame_run_v11555792823351,25,age7,[u'photos/boat_3.png'],boat,photo,boat,1733.0
86,vehiclegame_run_v11555792823351,26,age7,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31534450636247.png,boat,age8,boat,2354.0
87,vehiclegame_run_v11555792823351,27,age7,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31534461222995.png,boat,age6,boat,3242.0
88,vehiclegame_run_v11555792823351,28,age7,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41536683678556.png,train,age4,car,2026.0
89,vehiclegame_run_v11555792823351,29,age7,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31533501243808.png,boat,age4,car,2853.0
90,vehiclegame_run_v11555792823351,30,age7,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541367019106.png,train,age8,car,464.0
91,vehiclegame_run_v11555792823351,31,age7,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31531774669708.png,airplane,age5,car,718.0
92,vehiclegame_run_v11555792823351,32,age7,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31532113255816.png,airplane,age6,airplane,755.0
93,vehiclegame_run_v11555792823351,33,age7,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31534362509433.png,boat,age7,boat,1536.0
94,vehiclegame_run_v11555792823351,34,age7,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41541184025760.png,train,age6,train,3248.0
95,vehiclegame_run_v11555792823351,35,age7,[u'photos/car_2.png'],car,photo,car,5363.0
96,vehiclegame_run_v11555792823351,36,age7,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541892835344.png,train,age8,car,4204.0
97,vehiclegame_run_v11555792823351,37,age7,balanced_sketches_renamed/car_sketch_age5_cdm_run_v31534615862265.png,car,age5,train,3027.0
98,vehiclegame_run_v11555792823351,38,age7,balanced_sketches_renamed/car_sketch_age7_cdm_run_v31526417564997.png,car,age7,boat,7732.0
99,vehiclegame_run_v11555792823351,39,age7,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31531609488118.png,airplane,age4,train,2266.0
100,vehiclegame_run_v11555793089183,1,age7,[u'photos/airplane_2.png'],airplane,photo,airplane,105803.0
101,vehiclegame_run_v11555793089183,2,age7,[u'photos/train_4.png'],train,photo,airplane,835.0
102,vehiclegame_run_v11555793089183,3,age7,[u'photos/car_3.png'],car,photo,airplane,1822.0
103,vehiclegame_run_v11555794212495,1,age4,[u'photos/airplane_3.png'],airplane,photo,train,7373.0
104,vehiclegame_run_v11555794212495,2,age4,[u'photos/train_4.png'],train,photo,boat,3247.0
105,vehiclegame_run_v11555794293601,1,age4,[u'photos/airplane_3.png'],airplane,photo,airplane,9674.0
106,vehiclegame_run_v11555794293601,2,age4,[u'photos/car_1.png'],car,photo,car,7452.0
107,vehiclegame_run_v11555794293601,3,age4,[u'photos/boat_3.png'],boat,photo,train,3949.0
108,vehiclegame_run_v11555794293601,4,age4,[u'photos/train_4.png'],train,photo,train,5055.0
109,vehiclegame_run_v11555794293601,5,age4,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31535827960818.png,car,age8,airplane,11556.0
110,vehiclegame_run_v11555794293601,6,age4,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31528233345287.png,airplane,age5,train,2908.0
111,vehiclegame_run_v11555794293601,7,age4,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31535927005519.png,boat,age5,train,3654.0
112,vehiclegame_run_v11555794293601,8,age4,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31532475011111.png,boat,age8,boat,1584.0
113,vehiclegame_run_v11555794293601,9,age4,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31534110873366.png,car,age6,car,3474.0
114,vehiclegame_run_v11555794293601,10,age4,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41537650464349.png,train,age5,car,4178.0
115,vehiclegame_run_v11555794293601,11,age4,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31530644143472.png,airplane,age7,car,105.0
116,vehiclegame_run_v11555794906342,1,age10,[u'photos/boat_3.png'],boat,photo,boat,9969.0
117,vehiclegame_run_v11555794906342,2,age10,[u'photos/airplane_1.png'],airplane,photo,airplane,4760.0
118,vehiclegame_run_v11555794906342,3,age10,[u'photos/car_2.png'],car,photo,car,2287.0
119,vehiclegame_run_v11555794906342,4,age10,[u'photos/train_1.png'],train,photo,train,1677.0
120,vehiclegame_run_v11555794906342,5,age10,balanced_sketches_renamed/car_sketch_age7_cdm_run_v31533426055063.png,car,age7,car,7053.0
121,vehiclegame_run_v11555794906342,6,age10,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31531853489687.png,airplane,age6,airplane,2287.0
122,vehiclegame_run_v11555794906342,7,age10,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41541970856667.png,train,age5,train,3813.0
123,vehiclegame_run_v11555794906342,8,age10,balanced_sketches_renamed/airplane_sketch_age8_cdm_run_v31528658399219.png,airplane,age8,airplane,2409.0
124,vehiclegame_run_v11555794906342,9,age10,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31532715129943.png,boat,age4,boat,1422.0
125,vehiclegame_run_v11555794906342,10,age10,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31532982235550.png,car,age6,train,1906.0
126,vehiclegame_run_v11555794906342,11,age10,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31531432311575.png,airplane,age5,dont_know,4277.0
127,vehiclegame_run_v11555794906342,12,age10,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31526665751276.png,boat,age6,boat,1774.0
128,vehiclegame_run_v11555794906342,13,age10,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41536178424927.png,train,age4,train,2225.0
129,vehiclegame_run_v11555794906342,14,age10,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41539985570761.png,train,age4,train,1571.0
130,vehiclegame_run_v11555794906342,15,age10,[u'photos/airplane_4.png'],airplane,photo,airplane,1622.0
131,vehiclegame_run_v11555794906342,16,age10,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41541616048489.png,train,age5,train,4754.0
132,vehiclegame_run_v11555794906342,17,age10,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31526673903441.png,car,age4,car,2308.0
133,vehiclegame_run_v11555794906342,18,age10,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31534018489312.png,car,age8,car,1909.0
134,vehiclegame_run_v11555794906342,19,age10,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31530478539938.png,airplane,age4,airplane,2830.0
135,vehiclegame_run_v11555794906342,20,age10,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541880421004.png,train,age8,airplane,3017.0
136,vehiclegame_run_v11555794906342,21,age10,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31533942727083.png,boat,age5,boat,3596.0
137,vehiclegame_run_v11555794906342,22,age10,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31533241608392.png,boat,age8,boat,2062.0
138,vehiclegame_run_v11555794906342,23,age10,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31531338246387.png,airplane,age7,airplane,1514.0
139,vehiclegame_run_v11555794906342,24,age10,balanced_sketches_renamed/car_sketch_age5_cdm_run_v31534026736404.png,car,age5,car,4446.0
140,vehiclegame_run_v11555794906342,25,age10,[u'photos/boat_2.png'],boat,photo,boat,2474.0
141,vehiclegame_run_v11555794906342,26,age10,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31533678925659.png,boat,age7,boat,1565.0
142,vehiclegame_run_v11555794906342,27,age10,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31534367635067.png,boat,age6,boat,1464.0
143,vehiclegame_run_v11555794906342,28,age10,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31528401599159.png,airplane,age6,airplane,3127.0
144,vehiclegame_run_v11555794906342,29,age10,balanced_sketches_renamed/airplane_sketch_age8_cdm_run_v31529359799192.png,airplane,age8,airplane,1803.0
145,vehiclegame_run_v11555794906342,30,age10,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31533080542007.png,boat,age8,boat,1665.0
146,vehiclegame_run_v11555794906342,31,age10,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31531774669708.png,airplane,age5,car,1134.0
147,vehiclegame_run_v11555794906342,32,age10,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31535920421756.png,boat,age7,boat,2431.0
148,vehiclegame_run_v11555794906342,33,age10,balanced_sketches_renamed/car_sketch_age7_cdm_run_v31533165861944.png,car,age7,car,4416.0
149,vehiclegame_run_v11555794906342,34,age10,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41539987007263.png,train,age6,train,1579.0
150,vehiclegame_run_v11555794906342,35,age10,[u'photos/car_4.png'],car,photo,car,3856.0
151,vehiclegame_run_v11555794906342,36,age10,balanced_sketches_renamed/train_sketch_age7_cdm_run_v41541183668493.png,train,age7,dont_know,3207.0
152,vehiclegame_run_v11555794906342,37,age10,balanced_sketches_renamed/airplane_sketch_age4_cdm_run_v31530311922480.png,airplane,age4,airplane,1612.0
153,vehiclegame_run_v11555794906342,38,age10,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31532810871513.png,car,age6,car,1638.0
154,vehiclegame_run_v11555794906342,39,age10,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31535393785775.png,boat,age4,dont_know,2903.0
155,vehiclegame_run_v11555794906342,40,age10,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31533507748485.png,car,age4,dont_know,582.0
156,vehiclegame_run_v11555794906342,41,age10,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31534268250115.png,car,age8,boat,8946.0
157,vehiclegame_run_v11555794906342,42,age10,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31531954185970.png,airplane,age7,airplane,6529.0
158,vehiclegame_run_v11555794906342,43,age10,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31534268537168.png,boat,age5,boat,7161.0
159,vehiclegame_run_v11555794906342,44,age10,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41538867264244.png,train,age8,train,4458.0
160,vehiclegame_run_v11555796131117,1,age10,[u'photos/train_2.png'],train,photo,train,2678.0
161,vehiclegame_run_v11555799800125,1,age3,[u'photos/car_3.png'],car,photo,car,21720.0
162,vehiclegame_run_v11555799800125,2,age3,[u'photos/train_4.png'],train,photo,train,14328.0
163,vehiclegame_run_v11555799800125,3,age3,[u'photos/boat_2.png'],boat,photo,boat,9132.0
164,vehiclegame_run_v11555799800125,4,age3,[u'photos/airplane_1.png'],airplane,photo,airplane,4711.0
165,vehiclegame_run_v11555799800125,5,age3,balanced_sketches_renamed/boat_sketch_age8_cdm_run_v31533425000562.png,boat,age8,boat,9320.0
166,vehiclegame_run_v11555799800125,6,age3,balanced_sketches_renamed/airplane_sketch_age6_cdm_run_v31528583252900.png,airplane,age6,airplane,3365.0
167,vehiclegame_run_v11555799800125,7,age3,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541792446475.png,train,age8,car,9454.0
168,vehiclegame_run_v11555799800125,8,age3,balanced_sketches_renamed/car_sketch_age5_cdm_run_v31536015899873.png,car,age5,car,5609.0
169,vehiclegame_run_v11555799800125,9,age3,balanced_sketches_renamed/train_sketch_age4_cdm_run_v41542062654769.png,train,age4,train,9462.0
170,vehiclegame_run_v11555799800125,10,age3,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31526061437727.png,boat,age6,boat,6896.0
171,vehiclegame_run_v11555799800125,11,age3,balanced_sketches_renamed/boat_sketch_age4_cdm_run_v31535740489930.png,boat,age4,boat,5249.0
172,vehiclegame_run_v11555799800125,12,age3,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31526766453659.png,boat,age5,boat,2717.0
173,vehiclegame_run_v11555802177281,1,age4,[u'photos/car_1.png'],car,photo,car,12642.0
174,vehiclegame_run_v11555802177281,2,age4,[u'photos/boat_1.png'],boat,photo,boat,10658.0
175,vehiclegame_run_v11555802177281,3,age4,[u'photos/airplane_1.png'],airplane,photo,train,245.0
176,vehiclegame_run_v11555802177281,4,age4,[u'photos/train_4.png'],train,photo,train,3816.0
177,vehiclegame_run_v11555802866421,1,age3,[u'photos/car_2.png'],car,photo,airplane,5756.0
178,vehiclegame_run_v11555802866421,2,age3,[u'photos/boat_4.png'],boat,photo,car,6656.0
179,vehiclegame_run_v11555802866421,3,age3,[u'photos/airplane_3.png'],airplane,photo,airplane,5340.0
180,vehiclegame_run_v11555802866421,4,age3,[u'photos/train_1.png'],train,photo,airplane,6209.0
181,vehiclegame_run_v11555802958042,1,age3,[u'photos/airplane_3.png'],airplane,photo,airplane,6479.0
182,vehiclegame_run_v11555802958042,2,age3,[u'photos/train_1.png'],train,photo,airplane,472.0
183,vehiclegame_run_v11555802958042,3,age3,[u'photos/boat_2.png'],boat,photo,airplane,649.0
184,vehiclegame_run_v11555802958042,4,age3,[u'photos/car_2.png'],car,photo,boat,2510.0
185,vehiclegame_run_v11555802958042,5,age3,balanced_sketches_renamed/car_sketch_age4_cdm_run_v31526162026170.png,car,age4,train,1227.0
186,vehiclegame_run_v11555802958042,6,age3,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31532810871513.png,car,age6,boat,2369.0
187,vehiclegame_run_v11555802958042,7,age3,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31526251554792.png,car,age6,airplane,968.0
188,vehiclegame_run_v11555802958042,8,age3,balanced_sketches_renamed/train_sketch_age6_cdm_run_v41539976314348.png,train,age6,airplane,855.0
189,vehiclegame_run_v11555803038714,1,age3,[u'photos/boat_4.png'],boat,photo,boat,3495.0
190,vehiclegame_run_v11555803038714,2,age3,[u'photos/airplane_1.png'],airplane,photo,airplane,2080.0
191,vehiclegame_run_v11555803038714,3,age3,[u'photos/train_1.png'],train,photo,airplane,2345.0
192,vehiclegame_run_v11555803038714,4,age3,[u'photos/car_3.png'],car,photo,airplane,2855.0
193,vehiclegame_run_v11555803083704,1,age3,[u'photos/train_4.png'],train,photo,train,3570.0
194,vehiclegame_run_v11555803083704,2,age3,[u'photos/airplane_4.png'],airplane,photo,dont_know,3740.0
195,vehiclegame_run_v11555803083704,3,age3,[u'photos/boat_2.png'],boat,photo,train,4428.0
196,vehiclegame_run_v11555803138509,1,age3,[u'photos/car_2.png'],car,photo,car,2281.0
197,vehiclegame_run_v11555803165564,1,age6,[u'photos/car_1.png'],car,photo,car,2604.0
198,vehiclegame_run_v11555803165564,2,age6,[u'photos/train_2.png'],train,photo,boat,2010.0
199,vehiclegame_run_v11555803245596,1,age5,[u'photos/train_1.png'],train,photo,train,8611.0
200,vehiclegame_run_v11555803245596,2,age5,[u'photos/boat_4.png'],boat,photo,train,9502.0
201,vehiclegame_run_v11555803245596,3,age5,[u'photos/car_2.png'],car,photo,car,2720.0
202,vehiclegame_run_v11555803245596,4,age5,[u'photos/airplane_1.png'],airplane,photo,car,3370.0
203,vehiclegame_run_v11555803245596,5,age5,balanced_sketches_renamed/car_sketch_age8_cdm_run_v31533848585176.png,car,age8,car,12082.0
204,vehiclegame_run_v11555803245596,6,age5,balanced_sketches_renamed/boat_sketch_age5_cdm_run_v31534445290775.png,boat,age5,dont_know,15583.0
205,vehiclegame_run_v11555803245596,7,age5,balanced_sketches_renamed/train_sketch_age8_cdm_run_v41541965592644.png,train,age8,boat,5539.0
206,vehiclegame_run_v11555803245596,8,age5,balanced_sketches_renamed/airplane_sketch_age7_cdm_run_v31531693076482.png,airplane,age7,dont_know,5464.0
207,vehiclegame_run_v11555803245596,9,age5,balanced_sketches_renamed/car_sketch_age7_cdm_run_v31532726852504.png,car,age7,car,3416.0
208,vehiclegame_run_v11555803245596,10,age5,balanced_sketches_renamed/train_sketch_age5_cdm_run_v41540064769867.png,train,age5,dont_know,8449.0
209,vehiclegame_run_v11555803245596,11,age5,balanced_sketches_renamed/airplane_sketch_age8_cdm_run_v31531425150399.png,airplane,age8,airplane,2029.0
210,vehiclegame_run_v11555803245596,12,age5,balanced_sketches_renamed/boat_sketch_age6_cdm_run_v31532982235550.png,boat,age6,boat,2195.0
211,vehiclegame_run_v11555803245596,13,age5,balanced_sketches_renamed/boat_sketch_age7_cdm_run_v31533409644153.png,boat,age7,boat,2986.0
212,vehiclegame_run_v11555803245596,14,age5,balanced_sketches_renamed/car_sketch_age6_cdm_run_v31533657599749.png,car,age6,car,3607.0
213,vehiclegame_run_v11555803245596,15,age5,[u'photos/airplane_2.png'],airplane,photo,airplane,2855.0
214,vehiclegame_run_v11555803245596,16,age5,balanced_sketches_renamed/airplane_sketch_age5_cdm_run_v31531432311575.png,airplane,age5,car,14652.0
